AR,Span_m,RootChord_m,TipChord_m,MAC_m,K,L_over_D,TW_cruise,TW_req,TW_margin,Mroot_MNm,Score
8.8,39.0998697900645,6.70666720241244,2.17966684078404,4.82753497683084,0.0425547976181538,17.4472709259164,0.196960666881947,0.292892156862745,0.143765690376569,4.24544558261608,0.4932228887278
8.81,39.1220793174392,6.70285984065091,2.17842944821155,4.82479439473269,0.042506494783173,17.4541523323283,0.196883013933229,0.292892156862745,0.143765690376569,4.24785708271546,0.493489916404999
8.82,39.1442762436604,6.69905895583116,2.17719416064513,4.82205847481055,0.0424583014784301,17.4610235465376,0.196805537068296,0.292892156862745,0.143765690376569,4.25026721458751,0.493764687417182
8.83,39.1664605901529,6.6952645296101,2.17596097212328,4.81932720386086,0.0424102173317954,17.4678845911715,0.1967282356889,0.292892156862745,0.143765690376569,4.25267598055848,0.494047170727414
8.84,39.1886323782803,6.69147654371729,2.17472987670812,4.81660056873235,0.0423622419728228,17.4747354887901,0.196651109199503,0.292892156862745,0.143765690376569,4.25508338294804,0.494337335447237
8.85,39.2107916293461,6.68769497995457,2.17350086848523,4.81387855632579,0.0423143750327405,17.4815762618869,0.196574157007257,0.292892156862745,0.143765690376569,4.25748942406932,0.494635150835782
8.86,39.2329383645936,6.68391982019568,2.1722739415636,4.81116115359368,0.0422666161444417,17.4884069328889,0.196497378521991,0.292892156862745,0.143765690376569,4.25989410622889,0.494940586298935
8.87,39.2550726052061,6.68015104638592,2.17104909007542,4.80844834754005,0.0422189649424751,17.495227524157,0.196420773156196,0.292892156862745,0.143765690376569,4.26229743172683,0.495253611388482
8.88,39.2771943723072,6.67638864054176,2.16982630817607,4.80574012522016,0.0421714210630353,17.5020380579862,0.196344340325009,0.292892156862745,0.143765690376569,4.26469940285675,0.495574195801262
8.89,39.2993036869612,6.6726325847505,2.16860559004391,4.80303647374022,0.0421239841439543,17.5088385566055,0.196268079446198,0.292892156862745,0.143765690376569,4.26710002190577,0.495902309378325
8.9,39.321400570173,6.66888286116989,2.16738692988022,4.8003373802572,0.0420766538246914,17.5156290421787,0.196191989940148,0.292892156862745,0.143765690376569,4.26949929115462,0.496237922104115
8.91,39.3434850428886,6.6651394520278,2.16617032190904,4.7976428319785,0.0420294297463248,17.5224095368045,0.196116071229847,0.292892156862745,0.143765690376569,4.27189721287759,0.496581004105628
8.92,39.3655571259953,6.66140233962185,2.1649557603771,4.79495281616176,0.0419823115515419,17.5291800625162,0.196040322740869,0.292892156862745,0.143765690376569,4.27429378934261,0.496931525651593
8.93,39.3876168403218,6.65767150631905,2.16374323955369,4.79226732011456,0.0419352988846309,17.5359406412828,0.195964743901363,0.292892156862745,0.143765690376569,4.27668902281127,0.497289457151665
8.94,39.4096642066385,6.65394693455548,2.16253275373053,4.78958633119418,0.0418883913914713,17.5426912950085,0.195889334142035,0.292892156862745,0.143765690376569,4.27908291553879,0.497654769155616
8.95,39.4316992456577,6.65022860683591,2.16132429722167,4.78690983680736,0.0418415887195256,17.5494320455334,0.195814092896135,0.292892156862745,0.143765690376569,4.28147546977411,0.498027432352512
8.96,39.453721978034,6.64651650573348,2.16011786436338,4.78423782441005,0.0417948905178297,17.5561629146335,0.195739019599445,0.292892156862745,0.143765690376569,4.2838666877599,0.498407417569931
8.97,39.4757324243642,6.64281061388935,2.15891344951404,4.78157028150715,0.0417482964369848,17.5628839240209,0.195664113690261,0.292892156862745,0.143765690376569,4.28625657173256,0.498794695773173
8.98,39.4977306051879,6.63911091401234,2.15771104705401,4.77890719565228,0.0417018061291485,17.5695950953443,0.195589374609383,0.292892156862745,0.143765690376569,4.28864512392225,0.499189238064457
8.99,39.5197165409875,6.63541738887863,2.15651065138555,4.77624855444754,0.041655419248026,17.5762964501891,0.195514801800098,0.292892156862745,0.143765690376569,4.29103234655294,0.499591015682157
9,39.5416902521883,6.63173002133136,2.15531225693269,4.77359434554324,0.0416091354488615,17.5829880100774,0.195440394708167,0.292892156862745,0.143765690376569,4.29341824184241,0.5
